date, departure time, destination, platform, toc
2024-04-13, 0558, Ebbw Vale Town, 0, AW
2024-04-13, 0702, Ebbw Vale Town, 0, AW
2024-04-13, 0755, Ebbw Vale Town, 0, AW
2024-04-13, 0902, Ebbw Vale Town, 0, AW
2024-04-13, 1002, Ebbw Vale Town, 0, AW
2024-04-13, 1023, Newport (South Wales), 0, AW
2024-04-13, 1102, Ebbw Vale Town, 0, AW
2024-04-13, 1117, Maesteg, 0, AW
2024-04-13, 1202, Ebbw Vale Town, 0, AW
2024-04-13, 1302, Ebbw Vale Town, 0, AW
2024-04-13, 1402, Ebbw Vale Town, 0, AW
2024-04-13, 1530, Portsmouth Harbour, 0, GW
2024-04-13, 1602, Ebbw Vale Town, 0, AW
2024-04-13, 1702, Ebbw Vale Town, 0, AW
2024-04-13, 1802, Ebbw Vale Town, 0, AW
2024-04-13, 1956, Ebbw Vale Town, 0, AW
2024-04-13, 2059, Exeter St Davids, 0, GW
2024-04-13, 2203, Ebbw Vale Town, 0, AW
2024-04-14, 0830, Manchester Piccadilly, 0, AW
2024-04-14, 0940, Manchester Piccadilly, 0, AW
2024-04-14, 1049, Burton-on-Trent, 0, XC
2024-04-14, 1118, Maesteg, 0, AW
2024-04-14, 1229, Cheltenham Spa, 0, AW
2024-04-14, 1445, Burton-on-Trent, 0, XC
2024-04-14, 1629, Cheltenham Spa, 0, AW
2024-04-15, 0602, Ebbw Vale Town, 0, AW
2024-04-15, 0640, Nottingham, 0, XC
2024-04-15, 0802, Ebbw Vale Town, 0, AW
2024-04-15, 0845, Nottingham, 0, XC
2024-04-15, 0902, Ebbw Vale Town, 0, AW
2024-04-15, 1002, Ebbw Vale Town, 0, AW
2024-04-15, 1102, Ebbw Vale Town, 0, AW
2024-04-15, 1118, Maesteg, 0, AW
2024-04-15, 1202, Ebbw Vale Town, 0, AW
2024-04-15, 1302, Ebbw Vale Town, 0, AW
2024-04-15, 1402, Ebbw Vale Town, 0, AW
2024-04-15, 1502, Ebbw Vale Town, 0, AW
2024-04-15, 1602, Ebbw Vale Town, 0, AW
2024-04-15, 1702, Ebbw Vale Town, 0, AW
2024-04-15, 1802, Ebbw Vale Town, 0, AW
2024-04-15, 1902, Ebbw Vale Town, 0, AW
