date, time, destination, platform
2024-04-05, 0556, Sheffield, 0
2024-04-05, 0633, Buxton, 0
2024-04-05, 0703, Buxton, 0
2024-04-08, 0556, Sheffield, 0
2024-04-08, 0633, Buxton, 0
2024-04-08, 0703, Buxton, 0
2024-04-09, 0556, Sheffield, 0
2024-04-09, 0633, Buxton, 0
2024-04-09, 0703, Buxton, 0
2024-04-09, 0734, Buxton, 0
2024-04-09, 0755, Norwich, 0
2024-04-09, 0803, Buxton, 0
2024-04-09, 0833, Buxton, 0
2024-04-09, 0854, Norwich, 0
2024-04-09, 0905, Buxton, 0
2024-04-09, 0933, Buxton, 0
2024-04-09, 0954, Norwich, 0
2024-04-09, 1004, Buxton, 0
2024-04-09, 1033, Hazel Grove, 0
2024-04-09, 1054, Norwich, 0
2024-04-09, 1104, Buxton, 0
2024-04-09, 1133, Hazel Grove, 0
2024-04-09, 1154, Norwich, 0
2024-04-09, 1204, Buxton, 0
2024-04-09, 1233, Hazel Grove, 0
2024-04-09, 1254, Norwich, 0
2024-04-09, 1304, Buxton, 0
2024-04-10, 0556, Sheffield, 0
2024-04-10, 0633, Buxton, 0
2024-04-10, 0703, Buxton, 0
2024-04-10, 0734, Buxton, 0
2024-04-10, 0755, Norwich, 0
2024-04-10, 0803, Buxton, 0
2024-04-10, 0833, Buxton, 0
2024-04-10, 0854, Norwich, 0
2024-04-10, 0905, Buxton, 0
2024-04-10, 0933, Buxton, 0
2024-04-10, 0954, Norwich, 0
2024-04-10, 1004, Buxton, 0
2024-04-10, 1033, Hazel Grove, 0
2024-04-10, 1054, Norwich, 0
2024-04-10, 1104, Buxton, 0
2024-04-10, 1133, Hazel Grove, 0
2024-04-10, 1154, Norwich, 0
2024-04-10, 1204, Buxton, 0
2024-04-10, 1233, Hazel Grove, 0
2024-04-10, 1254, Norwich, 0
2024-04-10, 1304, Buxton, 0
2024-04-10, 1333, Hazel Grove, 0
2024-04-10, 1354, Nottingham, 0
2024-04-10, 1404, Buxton, 0
2024-04-10, 1433, Hazel Grove, 0
2024-04-10, 1454, Norwich, 0
2024-04-10, 1504, Buxton, 0
2024-04-10, 1533, Hazel Grove, 0
2024-04-10, 1554, Norwich, 0
2024-04-10, 1604, Buxton, 0
2024-04-10, 1633, Buxton, 0
2024-04-10, 1654, Norwich, 0
2024-04-10, 1704, Buxton, 0
2024-04-10, 1713, Hazel Grove, 0
2024-04-10, 1734, Buxton, 0
2024-04-10, 1854, Norwich, 0
2024-04-10, 1933, Buxton, 0
2024-04-10, 1956, Nottingham, 0
2024-04-10, 2004, Hazel Grove, 0
2024-04-10, 2033, Buxton, 0
2024-04-10, 2054, Nottingham, 0
2024-04-10, 2101, Sheffield, 0
2024-04-10, 2104, Hazel Grove, 0
2024-04-10, 2133, Buxton, 0
